2026-06-28 00:33:50.670 | INFO     | app.services.compression_service:compress:29 - Compression completed | Original=57, Compressed=28, Saved=29, Ratio=0.49, Time=348.63 ms
2026-06-28 10:33:59.090 | INFO     | app.services.compression_service:compress:29 - Compression completed | Original=3, Compressed=3, Saved=0, Ratio=1.00, Time=1.9 ms
2026-06-28 11:22:30.253 | INFO     | app.services.compression_service:compress:34 - Compression completed | Original=1, Compressed=1, Saved=0, Ratio=1.00, Time=0.1 ms
2026-06-28 11:25:16.127 | INFO     | app.services.compression_service:compress:34 - Compression completed | Original=64, Compressed=32, Saved=32, Ratio=0.50, Time=396.37 ms
2026-06-28 11:45:40.770 | INFO     | app.services.compression_service:compress:34 - Compression completed | Original=1, Compressed=1, Saved=0, Ratio=1.00, Time=0.08 ms
2026-06-28 16:51:38.719 | INFO     | app.services.compression_service:compress:43 - Compression completed | Mode=balanced | Original=1, Compressed=1, Saved=0, Ratio=1.00, Time=0.08 ms
2026-06-28 16:54:50.031 | INFO     | app.services.compression_service:compress:43 - Compression completed | Mode=fast | Original=10, Compressed=8, Saved=2, Ratio=0.80, Time=489.65 ms
2026-06-29 04:44:00.511 | INFO     | app.services.compression_service:compress:43 - Compression completed | Mode=fast | Original=7, Compressed=7, Saved=0, Ratio=1.00, Time=0.2 ms
2026-06-29 04:45:55.749 | INFO     | app.services.compression_service:compress:43 - Compression completed | Mode=maximum | Original=12, Compressed=3, Saved=9, Ratio=0.25, Time=638.64 ms
2026-06-29 05:09:46.417 | INFO     | app.services.compression_service:compress:50 - Compression completed | Mode=fast | Original=4, Compressed=4, Saved=0, Ratio=1.00, Time=4.21 ms
2026-06-29 05:10:13.459 | INFO     | app.services.compression_service:compress:50 - Compression completed | Mode=fast | Original=8, Compressed=8, Saved=0, Ratio=1.00, Time=2.74 ms
2026-06-29 05:10:40.558 | INFO     | app.services.compression_service:compress:50 - Compression completed | Mode=fast | Original=11, Compressed=8, Saved=3, Ratio=0.73, Time=817.24 ms
